iter	Passed	Remaining
0	210	210769
1	256	128107
2	284	94492
3	313	78044
4	340	67833
5	367	60855
6	397	56443
7	429	53266
8	452	49801
9	478	47418
10	506	45511
11	531	43788
12	560	42561
13	587	41352
14	616	40494
15	642	39507
16	668	38638
17	695	37927
18	729	37648
19	759	37238
20	786	36644
21	814	36215
22	842	35768
23	868	35318
24	895	34933
25	928	34769
26	959	34570
27	989	34358
28	1017	34063
29	1044	33784
30	1070	33463
31	1097	33198
32	1123	32907
33	1151	32712
34	1178	32494
35	1206	32320
36	1235	32144
37	1262	31965
38	1289	31767
39	1317	31615
40	1348	31539
41	1377	31427
42	1407	31316
43	1439	31286
44	1467	31140
45	1496	31037
46	1524	30911
47	1551	30766
48	1576	30599
49	1603	30475
50	1630	30341
51	1656	30198
52	1683	30077
53	1711	29989
54	1740	29910
55	1766	29783
56	1794	29685
57	1821	29582
58	1847	29460
59	1875	29378
60	1904	29321
61	1932	29236
62	1960	29157
63	1988	29086
64	2035	29279
65	2068	29273
66	2101	29269
67	2130	29196
68	2157	29104
69	2184	29017
70	2211	28932
71	2238	28856
72	2265	28765
73	2294	28718
74	2321	28632
75	2348	28550
76	2375	28475
77	2403	28406
78	2430	28332
79	2456	28249
80	2483	28181
81	2509	28099
82	2537	28029
83	2563	27957
84	2590	27884
85	2617	27819
86	2647	27778
87	2673	27708
88	2700	27645
89	2730	27606
90	2757	27548
91	2784	27481
92	2813	27438
93	2840	27377
94	2866	27308
95	2892	27240
96	2920	27187
97	2948	27138
98	2977	27093
99	3003	27034
100	3030	26971
101	3055	26901
102	3081	26836
103	3106	26767
104	3133	26713
105	3160	26656
106	3189	26615
107	3215	26557
108	3241	26497
109	3268	26447
110	3296	26402
111	3327	26382
112	3353	26319
113	3379	26268
114	3408	26231
115	3434	26175
116	3463	26137
117	3491	26100
118	3521	26074
119	3547	26013
120	3575	25971
121	3603	25936
122	3632	25898
123	3658	25844
124	3685	25797
125	3711	25746
126	3739	25704
127	3765	25650
128	3793	25615
129	3825	25604
130	3854	25570
131	3885	25552
132	3917	25534
133	3953	25551
134	3986	25541
135	4016	25518
136	4045	25484
137	4072	25437
138	4099	25392
139	4126	25347
140	4154	25308
141	4181	25264
142	4208	25219
143	4234	25173
144	4262	25133
145	4290	25095
146	4317	25054
147	4344	25012
148	4373	24981
149	4401	24944
150	4429	24906
151	4458	24872
152	4485	24831
153	4513	24792
154	4542	24766
155	4571	24732
156	4599	24695
157	4627	24660
158	4654	24620
159	4682	24581
160	4711	24549
161	4739	24515
162	4769	24491
163	4798	24461
164	4828	24433
165	4857	24403
166	4886	24375
167	4917	24355
168	4947	24329
169	4978	24306
170	5008	24283
171	5038	24253
172	5073	24254
173	5103	24228
174	5136	24214
175	5168	24197
176	5198	24170
177	5227	24142
178	5258	24119
179	5291	24103
180	5321	24078
181	5350	24049
182	5382	24031
183	5413	24005
184	5444	23986
185	5474	23959
186	5505	23937
187	5536	23911
188	5569	23899
189	5603	23888
190	5633	23861
191	5664	23838
192	5693	23808
193	5724	23784
194	5756	23762
195	5785	23733
196	5817	23711
197	5846	23682
198	5876	23653
199	5906	23624
200	5935	23596
201	5965	23566
202	5995	23540
203	6025	23511
204	6055	23485
205	6086	23458
206	6120	23446
207	6149	23416
208	6180	23391
209	6210	23361
210	6242	23341
211	6272	23314
212	6303	23289
213	6334	23264
214	6364	23239
215	6396	23217
216	6427	23190
217	6458	23167
218	6492	23153
219	6525	23137
220	6559	23121
221	6593	23107
222	6627	23092
223	6661	23078
224	6694	23059
225	6726	23035
226	6757	23010
227	6788	22984
228	6820	22962
229	6850	22935
230	6880	22905
231	6911	22878
232	6944	22859
233	6974	22829
234	7006	22806
235	7036	22779
236	7067	22753
237	7098	22725
238	7128	22698
239	7160	22675
240	7191	22649
241	7221	22620
242	7266	22637
243	7298	22612
244	7330	22590
245	7364	22572
246	7397	22550
247	7426	22520
248	7457	22491
249	7486	22459
